STT	Test	Từ mới	Định nghĩa	Ví dụ 1	Ví dụ 2	Phiên âm	Ghi chú
1	List 2	admission	(n) sự thừa nhận; vé vào cửa; sự cho vào = the act of accepting something as true, or permission to enter a place	The museum [admission] is free on Sundays. (Dịch: Vé vào cửa bảo tàng miễn phí vào Chủ nhật.)	Her [admission] of the mistake helped solve the issue. (Dịch: Việc cô ấy thừa nhận sai lầm đã giúp giải quyết vấn đề.)	(n) /ədˈmɪʃn/	Collocations: admission fee, gain admission
2	List 2	airplane	(n) máy bay = a vehicle that flies through the air	The [airplane] landed safely despite the rain. (Dịch: Máy bay hạ cánh an toàn dù trời mưa.)	We boarded the [airplane] twenty minutes before departure. (Dịch: Chúng tôi lên máy bay hai mươi phút trước giờ khởi hành.)	(n) /ˈerˌpleɪn/	Travel context
3	List 2	appliance	(n) thiết bị; đồ gia dụng = a machine used in the home or office	This kitchen [appliance] uses very little electricity. (Dịch: Thiết bị nhà bếp này dùng rất ít điện.)	The store sells household [appliances] at a discount. (Dịch: Cửa hàng bán đồ gia dụng giảm giá.)	(n) /əˈplaɪəns/	Collocations: electrical appliance, household appliance
4	List 2	assignment	(n) nhiệm vụ; bài tập = a task or piece of work given to someone	She finished the [assignment] before the deadline. (Dịch: Cô ấy hoàn thành nhiệm vụ trước hạn chót.)	The manager gave me a new [assignment] this morning. (Dịch: Quản lý giao cho tôi một nhiệm vụ mới sáng nay.)	(n) /əˈsaɪnmənt/	Collocations: work assignment, class assignment
5	List 2	attendee	(n) người tham dự = a person who attends an event	All [attendees] must register in advance. (Dịch: Tất cả người tham dự phải đăng ký trước.)	Each [attendee] received a welcome packet. (Dịch: Mỗi người tham dự nhận được một bộ tài liệu chào mừng.)	(n) /əˌtenˈdiː/	Event context
6	List 2	birthday	(n) sinh nhật = the day on which a person was born	We bought a cake for her [birthday]. (Dịch: Chúng tôi mua bánh cho sinh nhật của cô ấy.)	The company sent him a [birthday] card. (Dịch: Công ty gửi cho anh ấy một tấm thiệp sinh nhật.)	(n) /ˈbɜːrθdeɪ/	Common in social notices
7	List 2	cabinet	(n) tủ; ngăn tủ = a piece of furniture with shelves or drawers	The files are stored in the metal [cabinet]. (Dịch: Hồ sơ được cất trong tủ kim loại.)	She placed the cups in the kitchen [cabinet]. (Dịch: Cô ấy đặt những chiếc cốc vào tủ bếp.)	(n) /ˈkæbɪnət/	Collocations: filing cabinet, kitchen cabinet
8	List 2	café	(n) quán cà phê = a small restaurant serving drinks and light meals	We met at a quiet [café] near the station. (Dịch: Chúng tôi gặp nhau ở một quán cà phê yên tĩnh gần nhà ga.)	That [café] is famous for its desserts. (Dịch: Quán cà phê đó nổi tiếng với món tráng miệng.)	(n) /kæˈfeɪ/	Food/service context
9	List 2	cellphone	(n) điện thoại di động = a phone that you can carry and use anywhere	Please turn off your [cellphone] during the presentation. (Dịch: Vui lòng tắt điện thoại di động trong lúc thuyết trình.)	I left my [cellphone] in the taxi. (Dịch: Tôi để quên điện thoại di động trong taxi.)	(n) /ˈselˌfoʊn/	Also: mobile phone
10	List 2	clue	(n) manh mối; gợi ý = a piece of information that helps solve a problem	The note provided an important [clue]. (Dịch: Tờ ghi chú cung cấp một manh mối quan trọng.)	We still have no [clue] why the system failed. (Dịch: Chúng tôi vẫn không có manh mối nào về lý do hệ thống lỗi.)	(n) /kluː/	Collocations: useful clue, give a clue
11	List 2	compact	(adj) nhỏ gọn = small but arranged efficiently	This printer is [compact] enough for a small desk. (Dịch: Máy in này đủ nhỏ gọn cho một bàn làm việc nhỏ.)	A [compact] design saves office space. (Dịch: Thiết kế nhỏ gọn giúp tiết kiệm không gian văn phòng.)	(adj) /kəmˈpækt/	Opposite: bulky
12	List 2	comprehension	(n) sự hiểu; khả năng hiểu = the ability to understand something	Reading [comprehension] is important in the TOEIC test. (Dịch: Khả năng đọc hiểu rất quan trọng trong bài thi TOEIC.)	Her listening [comprehension] has improved a lot. (Dịch: Khả năng nghe hiểu của cô ấy đã cải thiện rất nhiều.)	(n) /ˌkɑːmprɪˈhenʃn/	Often in study context
13	List 2	contradict	(v) mâu thuẫn; phản bác = to say the opposite of something	His statement seems to [contradict] the report. (Dịch: Phát biểu của anh ấy dường như mâu thuẫn với báo cáo.)	The new data does not [contradict] our findings. (Dịch: Dữ liệu mới không mâu thuẫn với kết quả của chúng tôi.)	(v) /ˌkɑːntrəˈdɪkt/	Collocations: contradict a claim
14	List 2	convenient	(adj) tiện lợi; thuận tiện = easy to use or suitable for your needs	The hotel is in a [convenient] location. (Dịch: Khách sạn ở vị trí thuận tiện.)	Online payment is fast and [convenient]. (Dịch: Thanh toán trực tuyến nhanh và tiện lợi.)	(adj) /kənˈviːniənt/	Collocations: convenient location, convenient time
15	List 2	coupon	(n) phiếu giảm giá = a piece of paper or code used to get a discount	I used a [coupon] to save five dollars. (Dịch: Tôi dùng phiếu giảm giá để tiết kiệm năm đô.)	The store emailed customers a discount [coupon]. (Dịch: Cửa hàng gửi email phiếu giảm giá cho khách hàng.)	(n) /ˈkuːpɑːn/	Shopping context
16	List 2	coworker	(n) đồng nghiệp = a person who works with you	My [coworker] helped me prepare the report. (Dịch: Đồng nghiệp của tôi đã giúp tôi chuẩn bị báo cáo.)	She had lunch with two [coworkers]. (Dịch: Cô ấy ăn trưa với hai đồng nghiệp.)	(n) /ˈkoʊˌwɜːrkər/	Similar: colleague
17	List 2	cruise	(n) chuyến du thuyền = a holiday trip on a ship	They booked a summer [cruise] to Alaska. (Dịch: Họ đặt một chuyến du thuyền mùa hè đến Alaska.)	The travel agent recommended a seven-day [cruise]. (Dịch: Đại lý du lịch đề xuất một chuyến du thuyền bảy ngày.)	(n) /kruːz/	Travel context
18	List 2	dentist	(n) nha sĩ = a doctor who takes care of teeth	I have an appointment with the [dentist] tomorrow. (Dịch: Tôi có lịch hẹn với nha sĩ vào ngày mai.)	The [dentist] advised me to floss daily. (Dịch: Nha sĩ khuyên tôi dùng chỉ nha khoa hằng ngày.)	(n) /ˈdentɪst/	Medical context
19	List 2	depart	(v) khởi hành; rời đi = to leave a place, especially on a trip	The train will [depart] at 6:30. (Dịch: Tàu sẽ khởi hành lúc 6:30.)	Passengers must be seated before the plane [departs]. (Dịch: Hành khách phải ngồi yên trước khi máy bay cất cánh.)	(v) /dɪˈpɑːrt/	Opposite: arrive
20	List 2	destination	(n) điểm đến = the place where someone is going	Paris is a popular travel [destination]. (Dịch: Paris là một điểm đến du lịch nổi tiếng.)	Please confirm the shipping [destination]. (Dịch: Vui lòng xác nhận điểm đến giao hàng.)	(n) /ˌdestɪˈneɪʃn/	Collocations: final destination
21	List 2	dine	(v) dùng bữa = to eat dinner or a formal meal	We will [dine] at the hotel restaurant tonight. (Dịch: Tối nay chúng tôi sẽ dùng bữa tại nhà hàng khách sạn.)	Many guests prefer to [dine] outdoors. (Dịch: Nhiều khách thích dùng bữa ngoài trời.)	(v) /daɪn/	Restaurant context
22	List 2	electrical	(adj) thuộc điện = related to electricity	The building had an [electrical] problem yesterday. (Dịch: Tòa nhà gặp sự cố điện hôm qua.)	We need to replace the [electrical] wiring. (Dịch: Chúng ta cần thay hệ thống dây điện.)	(adj) /ɪˈlektrɪkl/	Collocations: electrical equipment, electrical wiring
23	List 2	exit	(v/n) thoát ra; lối ra = to leave, or the way out	Please use the nearest [exit] in an emergency. (Dịch: Vui lòng dùng lối ra gần nhất khi có khẩn cấp.)	Several employees [exited] the building quickly. (Dịch: Một số nhân viên đã rời khỏi tòa nhà nhanh chóng.)	(v/n) /ˈeksɪt/	Collocations: emergency exit
